"filename", "language", "JavaScript React", "CSS", "comment", "blank", "total"
"c:\laragon\www\ng-elections\app\(protected)\dashboard\election-result\page.jsx", "JavaScript React", 574, 0, 14, 81, 669
"c:\laragon\www\ng-elections\app\(protected)\dashboard\eyewitness-report\page.jsx", "JavaScript React", 630, 0, 10, 73, 713
"c:\laragon\www\ng-elections\app\(protected)\dashboard\layout.jsx", "JavaScript React", 27, 0, 0, 9, 36
"c:\laragon\www\ng-elections\app\(protected)\dashboard\media-gallery\page.jsx", "JavaScript React", 17, 0, 0, 7, 24
"c:\laragon\www\ng-elections\app\(protected)\dashboard\messages\page.jsx", "JavaScript React", 221, 0, 2, 30, 253
"c:\laragon\www\ng-elections\app\(protected)\dashboard\my-account-info\page.jsx", "JavaScript React", 665, 0, 12, 149, 826
"c:\laragon\www\ng-elections\app\(protected)\dashboard\my-activity-report\page.jsx", "JavaScript React", 179, 0, 1, 28, 208
"c:\laragon\www\ng-elections\app\(protected)\dashboard\news\page.jsx", "JavaScript React", 17, 0, 0, 8, 25
"c:\laragon\www\ng-elections\app\(protected)\dashboard\page.jsx", "JavaScript React", 34, 0, 0, 16, 50
"c:\laragon\www\ng-elections\app\(protected)\dashboard\result-collation\page.jsx", "JavaScript React", 36, 0, 0, 18, 54
"c:\laragon\www\ng-elections\app\(protected)\dashboard\wallet\page.jsx", "JavaScript React", 270, 0, 2, 48, 320
"c:\laragon\www\ng-elections\app\(protected)\update-profile\page.jsx", "JavaScript React", 303, 0, 5, 56, 364
"c:\laragon\www\ng-elections\app\_not-found\404.jsx", "JavaScript React", 8, 0, 0, 1, 9
"c:\laragon\www\ng-elections\app\auth\email-verified\page.jsx", "JavaScript React", 31, 0, 4, 14, 49
"c:\laragon\www\ng-elections\app\auth\forgot-password\page.jsx", "JavaScript React", 123, 0, 0, 28, 151
"c:\laragon\www\ng-elections\app\auth\layout.jsx", "JavaScript React", 11, 0, 0, 2, 13
"c:\laragon\www\ng-elections\app\auth\login\page.jsx", "JavaScript React", 154, 0, 2, 36, 192
"c:\laragon\www\ng-elections\app\auth\password-reset-successful\page.jsx", "JavaScript React", 31, 0, 4, 13, 48
"c:\laragon\www\ng-elections\app\auth\reset-password\page.jsx", "JavaScript React", 164, 0, 3, 35, 202
"c:\laragon\www\ng-elections\app\auth\signup-success\page.jsx", "JavaScript React", 68, 0, 5, 22, 95
"c:\laragon\www\ng-elections\app\auth\signup\page.jsx", "JavaScript React", 194, 0, 0, 26, 220
"c:\laragon\www\ng-elections\app\auth\verify-otp\page.jsx", "JavaScript React", 170, 0, 0, 37, 207
"c:\laragon\www\ng-elections\app\globals.css", "CSS", 0, 56, 0, 3, 59
"c:\laragon\www\ng-elections\app\layout.jsx", "JavaScript React", 31, 0, 0, 3, 34
"c:\laragon\www\ng-elections\app\page.jsx", "JavaScript React", 54, 0, 9, 15, 78
"Total", "-", 4012, 56, 73, 758, 4899
